"","RESPID","Q 1","Q 2","Q 3","Q 4","Q 5","Q 6","Q 7","Q 8","Q 9","Q 10","Q 11","Q 12","Q 13","Q 14","Q 15","Q 16","Q 17","Q 18","Q 19","Q 20","Q 21","Q 22","Q 23","Q 24","Q 25","Q 26","Q 27","Q 28","Q 29","Q 30","Q 31","Q 32","Q 33","Q 34","Q 35","Q 36","Q 37","Q 38","Q 39","Q 40","Q 41","Q 42","Q 43","Q 44","Q 45","Q 46","Q 47","Q 48","Q 49","Q 50","Q 51","Q 52","Q 53","Q 54","Q 55","Q 56","Q 57","Q 58","Q 59","Q 60","Q 61","Q 62","Q 63","Q 64","Q 65","Q 66","Q 67","Q 68","Q 69","Q 70","Q 71","Q 72","Q 73","Q 74","Q 75","Q 76","Q 77","Q 78","Q 79","Q 80","Q 81"
"62",235666,5,2,3,5,5,5,4,5,4,1,4,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,1,1,4,5,6,16,1,3,3,5,3,5,1,3,1,3,30,1,13,1,1,3,52,3,5,5,5,4,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,1,1
"2520",420512,3,2,2,4,2,5,4,4,1,5,5,4,2,3,3,4,3,4,4,4,5,4,2,3,4,1,3,2,4,1,1,4,1,2,18,3,1,2,4,3,5,3,2,1,2,35,1,1,1,5,4,16,3,1,3,4,3,2,2,4,2,3,1,4,4,4,3,5,3,4,4,3,4,3,4,1,1,3,3,0,0
"2185",228583,2,3,3,5,4,2,2,4,2,3,4,3,3,3,4,2,3,3,3,2,3,4,4,3,3,3,2,3,4,1,1,4,8,2,24,1,3,4,2,3,4,3,2,1,1,25,1,16,1,5,4,18,4,5,4,5,4,4,4,4,4,5,5,3,4,4,4,3,3,5,5,4,4,4,5,4,4,4,3,1,1
"1887",1711,4,3,3,5,3,5,5,3,4,4,1,2,3,3,3,3,3,5,5,3,5,4,4,5,4,2,4,4,5,1,1,5,5,2,25,1,3,5,3,2,4,5,5,4,3,50,2,15,1,1,3,14,5,3,3,4,3,4,4,4,4,4,3,3,4,5,4,4,4,4,4,5,5,3,4,4,4,4,4,1,0
"2579",477592,1,2,3,1,3,1,1,1,3,2,1,2,2,2,1,2,1,1,1,4,1,2,1,1,1,1,4,1,2,1,1,4,2,2,21,2,4,4,4,3,5,4,2,4,3,45,1,15,1,1,4,24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,0,1
"1534",8467,3,4,3,3,4,4,4,4,3,4,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,9,1,4,4,3,55,3,3,4,4,2,3,3,2,3,3,3,2,1,1,1,3,23,4,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,4,3,4,3,4,4,4,3,3,4,0,0
"2607",1459,5,5,4,5,5,5,4,5,3,4,2,3,3,3,4,5,4,5,5,4,5,5,5,4,4,4,5,5,5,1,1,3,4,2,16,3,4,2,5,2,5,2,2,2,2,55,2,10,6,4,4,30,5,5,5,5,5,5,5,5,5,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0
"152",234171,3,4,4,3,3,5,5,5,4,3,4,3,3,3,5,3,2,5,5,4,5,5,5,4,5,4,5,5,5,1,1,4,6,6,20,1,4,1,1,2,5,2,5,1,3,50,2,16,1,1,3,45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1
"2329",471047,4,1,3,4,4,4,4,4,2,3,4,2,3,3,4,3,3,3,4,3,4,4,4,4,4,2,3,3,4,2,1,3,1,2,10,2,5,3,4,3,3,3,4,1,4,75,1,17,1,2,4,84,4,3,4,3,3,2,2,3,4,2,2,2,2,2,2,2,2,3,2,4,4,4,4,5,4,4,2,1,1
"199",2768,5,3,5,5,3,5,5,3,5,5,2,2,4,4,5,4,3,5,5,5,5,5,5,5,5,4,5,5,5,2,1,4,5,6,32,1,5,5,5,3,5,5,5,5,5,90,2,10,1,1,3,3,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0
