"","RESPID","Q 1","Q 2","Q 3","Q 4","Q 5","Q 6","Q 7","Q 8","Q 9","Q 10","Q 11","Q 12","Q 13","Q 14","Q 15","Q 16","Q 17","Q 18","Q 19","Q 20","Q 21","Q 22","Q 23","Q 24","Q 25","Q 26","Q 27","Q 28","Q 29","Q 30","Q 31","Q 32","Q 33","Q 34","Q 35","Q 36","Q 37","Q 38","Q 39","Q 40","Q 41","Q 42","Q 43","Q 44","Q 45","Q 46","Q 47","Q 48","Q 49","Q 50","Q 51","Q 52","Q 53","Q 54","Q 55","Q 56","Q 57","Q 58","Q 59","Q 60","Q 61","Q 62","Q 63","Q 64","Q 65","Q 66","Q 67","Q 68","Q 69","Q 70","Q 71","Q 72","Q 73","Q 74","Q 75","Q 76","Q 77","Q 78","Q 79","Q 80","Q 81"
"736",2394,5,2,4,4,5,5,5,3,5,4,4,1,5,5,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,2,1,5,3,4,12,5,5,4,4,3,4,3,5,3,5,8,1,19,1,1,2,3,4,5,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,2,5,5,3,1,0
"1188",222531,4,2,3,4,3,4,4,2,3,4,1,2,2,3,3,2,2,4,5,1,5,4,2,5,2,3,2,2,4,1,1,4,2,3,22,1,5,5,3,2,2,2,4,3,4,20,2,13,1,1,4,46,2,3,3,3,3,3,3,4,4,2,3,4,2,4,4,4,2,3,4,3,4,3,3,2,3,3,3,0,1
"996",12953,3,3,4,1,2,2,4,2,3,3,4,5,1,2,2,4,4,5,1,3,1,2,5,2,4,4,3,3,5,1,1,3,4,4,55,3,2,1,4,2,3,4,3,1,2,21,1,1,5,1,3,3,4,1,1,2,2,2,1,4,3,2,5,4,2,1,4,3,5,2,2,2,1,2,3,3,5,1,1,0,0
"1639",21765,4,3,4,4,4,4,5,3,3,4,3,2,4,5,4,3,3,5,5,2,4,4,3,4,3,3,3,2,3,0,0,4,5,2,25,2,5,5,4,2,4,3,4,3,4,30,2,12,1,7,1,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,0
"982",16626,5,5,4,5,4,5,4,5,4,5,4,5,5,4,4,3,5,4,4,4,4,5,5,5,5,4,3,5,5,0,0,5,5,4,20,1,5,3,5,2,3,4,5,4,5,20,2,17,6,1,1,10,3,4,3,4,4,5,4,5,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,5,4,4,3,0,0
"229",240190,4,3,4,4,4,3,3,4,3,3,4,2,3,3,4,3,4,5,4,3,4,4,3,4,3,3,3,3,4,1,1,5,5,6,25,3,4,4,4,3,4,2,3,3,4,50,1,15,1,1,3,54,3,3,4,4,4,5,4,4,4,5,4,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,0,1
"632",1603,4,4,5,4,4,4,4,5,5,4,4,4,4,5,5,4,5,5,4,4,4,5,4,5,5,4,4,5,4,2,1,5,6,5,10,5,3,2,4,2,5,3,3,2,2,5,1,15,6,1,1,15,4,4,4,3,4,3,5,4,4,4,5,5,4,4,5,4,5,4,4,4,4,4,4,4,4,3,4,0,0
"937",9910,5,4,4,5,4,4,4,5,5,4,5,4,5,4,5,5,5,5,4,5,4,5,5,4,4,4,5,4,4,1,1,5,4,4,34,5,1,2,3,2,4,4,4,4,4,34,2,10,5,1,2,30,4,4,4,5,4,5,4,4,4,2,4,2,5,4,5,4,4,4,5,4,5,4,5,4,5,5,5,0,0
"1400",19937,4,2,2,4,4,4,2,3,2,3,4,2,3,3,3,3,3,4,4,3,5,4,4,5,3,3,4,4,4,1,1,5,3,3,18,1,5,5,4,3,4,3,5,4,3,30,2,15,1,1,2,1,4,4,4,4,4,4,4,4,5,5,4,4,3,4,5,3,5,4,4,4,4,5,5,3,4,5,4,1,0
"299",2390,3,5,3,4,4,4,4,4,3,5,4,3,4,4,4,4,3,4,4,4,3,3,3,5,4,3,5,5,4,1,1,3,5,6,25,4,5,5,5,2,4,5,5,5,5,60,2,17,1,1,2,18,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,4,4,5,4,5,5,4,5,4,4,1,0
"516",226409,5,3,1,3,3,5,5,3,2,3,5,3,3,2,2,4,3,5,5,3,5,3,2,5,5,3,2,1,5,1,1,4,3,5,27,1,5,5,4,2,2,4,4,4,5,60,2,12,6,1,1,3,5,3,3,5,5,5,5,5,5,5,3,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,1,1
"791",21827,4,3,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,2,4,3,3,4,4,4,3,3,3,1,1,4,3,4,20,1,4,5,3,3,2,4,3,5,4,50,2,16,1,1,2,10,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
"7",11445,4,3,4,4,5,5,5,5,3,1,5,3,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,1,1,3,5,8,20,2,4,4,4,3,3,2,4,5,4,30,1,19,1,1,2,3,4,4,3,3,3,3,4,4,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,0,0
"1181",485619,4,3,3,4,3,4,4,4,3,4,2,2,3,3,3,3,3,4,4,3,4,4,3,4,3,3,2,3,4,0,0,4,11,3,17,2,5,3,3,2,2,4,4,4,4,60,2,12,1,1,1,40,4,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,0,1
"2",224795,3,2,4,4,4,4,5,3,4,4,3,2,4,4,5,3,3,5,4,3,4,4,3,4,4,4,4,4,4,1,1,4,3,8,25,2,5,4,5,2,3,4,4,5,4,30,2,17,5,1,1,28,3,3,4,3,3,3,4,4,5,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3,3,3,3,1,1
"150",230068,4,2,4,5,3,4,5,2,4,3,4,2,4,3,4,3,4,4,5,3,5,4,2,4,5,4,3,3,4,0,0,5,4,6,23,1,5,4,4,3,3,4,5,5,5,20,1,15,1,1,1,3,4,1,3,4,3,2,2,1,3,4,2,2,1,2,1,1,1,4,1,4,3,4,4,2,2,1,2,0,0
"1164",470886,2,2,4,4,4,4,4,3,4,2,2,2,3,3,2,2,3,4,4,3,4,4,2,4,3,4,2,3,4,0,0,4,4,3,22,1,5,3,5,3,1,3,5,3,5,25,1,15,1,1,4,39,4,3,4,3,4,4,4,4,4,4,2,2,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,1,1
"841",224843,4,3,4,5,4,4,4,4,3,3,3,3,3,3,3,4,3,4,4,3,5,4,4,4,5,3,3,3,4,1,1,5,5,4,30,1,4,3,4,1,2,3,4,3,4,50,2,17,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,1,1
"1945",488596,5,3,4,4,4,5,4,3,3,3,3,4,3,4,2,3,2,4,4,2,4,2,1,4,4,1,2,1,4,1,1,4,3,2,17,1,3,2,5,2,5,1,3,1,3,30,1,13,1,1,3,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
"2299",480214,3,3,2,3,1,2,2,3,2,2,4,4,3,3,3,2,2,4,4,2,4,3,2,3,3,1,3,3,4,1,1,4,1,2,16,3,4,3,3,3,4,3,3,3,2,29,2,1,4,7,3,43,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1
"1199",9620,5,4,3,5,5,5,4,4,3,4,4,3,4,4,4,3,3,5,5,4,5,4,4,5,5,4,3,5,4,1,1,4,2,3,16,1,5,5,5,3,5,4,5,4,5,20,1,15,1,1,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,4,4,5,4,3,5,3,5,4,5,0,0
"817",22977,5,5,3,5,3,5,4,5,3,4,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,1,1,4,4,4,20,2,5,5,3,2,4,5,4,3,4,25,2,12,1,1,1,4,5,4,5,4,4,5,5,4,4,4,3,5,4,5,4,3,4,5,5,5,5,4,4,5,5,5,5,1,0
"2347",233568,3,2,2,3,2,4,2,4,1,2,4,4,2,2,2,2,2,4,4,2,4,4,1,4,4,1,2,2,4,0,0,5,4,2,23,4,4,3,3,2,5,3,3,1,4,30,1,18,3,1,2,3,3,4,4,4,4,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,3,4,3,3,1,0,1
"162",229615,3,5,3,4,1,3,3,4,3,4,1,2,1,3,3,1,2,4,4,1,3,2,3,2,4,3,1,1,3,1,1,5,2,6,21,4,4,3,4,1,4,3,2,3,3,90,1,19,6,1,2,5,4,5,3,5,5,3,5,4,5,3,5,4,3,2,3,3,4,5,4,5,4,4,4,1,4,4,4,0,1
"2627",1630,3,4,4,2,5,5,4,4,3,4,5,2,3,3,1,3,3,5,4,3,5,3,3,5,4,2,3,5,4,1,1,5,2,2,18,2,1,5,4,2,5,1,3,3,3,20,1,1,5,7,4,50,2,5,3,4,4,4,4,4,5,4,5,2,4,4,5,3,3,3,4,4,4,5,5,2,4,3,4,0,0
"1048",421201,3,3,3,3,3,3,3,3,3,2,5,1,3,4,4,4,3,5,4,4,3,4,4,4,3,3,2,2,3,1,1,5,1,3,17,1,5,4,4,3,5,2,4,2,3,75,2,11,6,1,3,1,2,3,3,3,3,4,3,3,4,3,4,3,4,4,4,4,3,4,3,4,4,4,3,3,3,3,4,1,1
"2570",220331,4,5,4,1,1,4,4,1,3,4,2,4,4,1,1,4,4,1,1,4,4,1,1,1,1,1,1,4,1,1,1,4,4,2,21,3,5,3,3,3,5,4,4,2,3,10,2,11,1,7,1,25,4,1,4,1,4,4,1,1,3,1,4,4,4,4,4,4,1,1,4,1,1,1,1,3,4,1,4,1,1
"702",222605,4,3,3,4,3,5,5,3,3,3,5,2,3,3,5,4,4,4,5,3,5,5,4,5,5,3,5,5,4,1,1,5,2,4,18,4,3,3,5,3,5,2,4,3,3,100,2,12,1,1,4,16,5,3,5,3,4,4,5,4,5,4,3,4,3,3,4,3,5,5,4,5,5,5,5,3,5,5,5,1,0
"382",226742,4,3,3,4,4,5,4,4,2,4,4,2,2,3,4,5,5,4,4,4,5,4,4,5,5,4,4,4,4,1,1,4,2,5,24,1,5,5,5,4,1,5,5,5,5,12,2,19,1,3,3,8,3,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,3,4,4,4,4,4,4,3,3,4,3,0,1
"1980",235532,5,4,2,4,2,3,3,3,1,3,4,4,1,2,4,1,2,4,4,2,4,4,3,4,4,2,2,2,4,1,1,4,3,2,22,3,5,3,4,2,5,3,5,3,4,20,1,15,1,1,3,51,1,3,3,3,3,5,4,4,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,0,1
"1017",224771,4,4,4,4,4,5,5,3,4,2,5,2,4,5,5,4,5,4,5,4,4,4,4,4,5,4,3,4,5,1,1,4,6,3,28,1,4,5,5,4,4,4,4,4,4,20,2,15,1,2,1,84,5,3,5,3,4,4,5,4,4,3,2,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,1,1
"2271",226950,4,3,3,3,3,4,3,4,2,4,3,2,3,3,4,2,3,4,4,3,4,4,2,3,4,2,3,3,4,0,0,4,3,2,16,1,5,5,5,2,5,3,5,3,2,45,2,15,1,5,3,1,3,4,3,3,3,3,4,3,4,4,4,3,3,3,4,3,3,4,4,4,3,4,4,3,3,3,3,0,1
"2395",233270,3,2,2,5,4,3,2,4,2,3,4,4,3,4,4,3,3,3,3,2,3,4,4,4,3,2,2,3,4,1,1,3,3,2,19,2,3,1,4,3,5,1,1,1,1,35,1,1,1,5,4,10,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,0,0
"1656",18916,4,2,4,4,5,3,3,4,2,3,4,2,2,2,4,3,2,4,5,2,4,4,3,4,4,2,2,3,2,0,0,4,4,2,26,3,4,5,4,1,5,3,4,3,3,112,1,14,1,1,4,5,4,5,4,4,4,5,4,4,5,3,5,3,4,4,4,4,4,5,4,5,5,5,4,3,5,5,4,1,0
"297",420092,4,5,4,4,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,5,5,4,4,5,5,5,2,2,5,0,0,4,5,6,13,2,3,4,5,2,5,5,4,4,4,160,2,13,1,1,3,38,5,4,5,4,4,4,4,4,5,4,4,2,5,4,4,4,4,4,5,4,5,4,4,5,5,5,4,0,0
"770",222420,4,2,2,4,4,4,3,4,3,4,1,1,3,3,3,3,3,5,5,2,5,5,4,5,3,3,3,3,5,0,0,5,4,4,30,1,5,4,4,2,3,2,5,4,5,30,2,17,1,1,1,25,2,3,4,5,3,4,5,4,4,4,3,5,4,3,4,4,3,4,4,3,4,5,4,2,2,3,3,0,1
"1884",2327,4,3,3,4,5,5,5,5,3,4,4,3,3,3,3,3,3,5,5,2,5,5,5,5,5,4,2,4,5,1,1,3,2,2,16,1,1,5,4,2,5,2,3,1,2,50,1,1,5,6,2,50,4,3,4,3,3,3,4,3,5,4,3,4,4,4,4,5,4,5,4,5,5,3,4,3,4,5,4,1,0
"2135",479052,4,4,2,4,2,4,3,4,2,4,4,2,2,2,4,2,2,4,4,2,4,4,4,4,3,2,3,2,4,1,1,4,4,2,17,2,2,2,4,3,4,3,3,1,3,10,1,1,5,1,4,24,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1
"203",10396,5,3,4,4,4,4,5,4,3,4,5,1,4,4,5,5,5,5,5,4,5,5,5,5,4,4,4,4,5,1,1,5,8,6,23,2,5,4,3,3,2,5,3,3,3,40,2,16,1,1,2,5,5,4,4,4,4,5,5,4,5,5,4,4,4,5,5,5,5,5,4,4,5,4,5,4,4,5,5,0,0
"1170",240969,4,3,3,4,4,4,3,3,2,4,3,3,3,4,3,2,2,4,4,2,4,4,3,4,3,3,2,1,4,1,1,4,2,3,17,2,4,3,4,2,5,2,3,1,3,20,1,18,1,1,3,50,4,3,4,3,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,3,3,4,4,4,3,4,4,0,1
"2732",482121,4,4,2,2,3,3,2,5,2,4,1,5,1,1,3,1,1,3,3,2,3,2,2,3,2,2,1,2,3,1,1,4,1,1,20,2,4,4,3,1,2,4,4,4,4,40,1,16,1,1,4,10,4,3,4,4,3,3,4,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,0,0
"2634",22006,3,4,3,3,4,4,4,3,3,4,3,3,4,4,3,4,3,4,4,3,3,3,4,4,3,3,3,4,3,0,0,4,5,2,16,3,3,3,3,2,4,3,4,4,3,7,1,13,1,1,2,9,3,4,4,4,4,3,3,3,3,4,5,3,5,4,5,4,4,4,4,5,4,3,3,3,4,5,4,0,0
"154",232907,4,4,3,4,2,4,2,4,2,4,5,4,2,2,3,2,2,5,5,2,4,2,5,5,3,4,2,3,5,1,1,5,2,6,25,3,5,5,3,2,5,5,3,5,4,30,2,18,1,7,3,3,5,3,5,4,4,3,4,5,4,5,5,4,5,5,4,5,3,4,4,3,5,5,5,4,5,3,4,0,1
"1760",226170,4,4,2,4,2,4,4,3,4,2,2,3,2,2,2,2,3,4,4,2,4,2,2,5,2,2,2,2,2,0,0,4,1,2,17,1,5,4,5,1,2,4,5,3,5,10,2,16,1,1,1,40,2,4,3,4,4,3,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,0,1
"1698",9084,5,2,4,5,5,5,5,4,2,3,5,2,3,4,4,4,3,4,4,4,5,4,5,5,4,3,3,3,3,0,0,4,3,2,26,2,5,5,3,2,3,5,4,3,4,30,1,14,1,2,3,1,3,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,0,0
"90",223760,4,2,4,5,5,4,4,4,2,4,5,2,4,4,4,4,5,5,5,4,5,4,3,5,3,3,3,3,4,1,1,5,4,6,21,1,3,5,3,2,1,4,4,4,4,10,2,19,1,7,2,39,3,4,3,4,5,5,5,5,5,5,3,5,5,4,4,5,3,4,4,4,5,4,4,3,3,4,4,1,1
"2806",474399,4,3,1,3,3,3,2,4,3,4,4,3,2,4,4,1,2,2,3,1,3,4,1,4,4,1,3,1,1,0,0,4,1,1,19,4,1,3,3,2,5,2,3,3,2,40,1,13,3,1,4,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,0,1
"807",238511,4,2,3,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,2,3,4,1,1,5,7,4,24,3,4,4,3,3,4,3,4,3,4,45,1,19,1,1,4,29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,0,1
"365",239194,5,2,5,4,4,5,5,4,5,4,1,2,4,4,5,3,4,4,4,4,5,4,3,5,5,3,3,4,4,1,1,4,5,5,28,1,5,3,4,1,1,2,5,3,4,35,1,19,1,1,1,52,5,3,4,4,4,3,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,1,1
"1152",234369,5,3,3,5,3,4,4,4,4,3,3,4,3,3,4,3,3,4,4,4,4,4,4,5,5,3,3,4,4,0,0,4,2,3,22,3,3,4,3,3,5,3,2,2,3,75,1,19,1,1,3,5,4,4,4,4,4,4,4,4,5,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,0,1
"1272",472854,5,5,2,2,2,3,4,4,2,4,4,4,2,2,3,2,2,4,4,3,4,4,3,4,4,3,2,3,4,0,0,4,4,3,22,2,5,2,5,1,2,4,5,2,5,40,1,16,3,5,4,5,3,3,5,4,3,4,3,3,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,3,3,4,3,1,1
"561",422682,4,5,5,4,5,5,4,4,5,3,5,4,5,4,5,5,4,5,4,5,5,4,4,5,4,4,4,4,5,4,1,5,3,5,10,5,5,4,4,4,5,4,5,5,4,15,1,1,5,1,1,5,4,3,5,4,4,4,4,4,5,4,5,5,4,4,3,5,4,5,5,4,5,4,5,4,5,5,5,0,1
"1230",231833,4,2,1,4,4,1,1,4,1,4,2,3,1,2,4,1,1,4,4,2,4,3,2,4,1,4,2,1,4,1,1,2,3,3,22,3,5,4,4,3,5,2,4,3,3,175,2,13,1,1,4,3,4,3,3,3,4,3,4,4,4,3,3,4,3,3,4,4,2,4,3,4,4,4,4,4,4,3,3,0,0
"261",237008,4,4,4,5,3,3,4,3,4,5,4,5,5,3,5,5,5,5,5,5,3,5,4,5,5,4,4,5,4,1,1,5,6,6,42,1,5,5,5,2,5,5,5,5,5,100,2,19,5,1,1,3,5,4,5,4,4,4,5,5,4,5,4,5,4,5,4,4,4,5,5,4,4,4,4,5,5,5,5,1,1
"2202",233565,4,2,3,4,4,3,3,4,2,3,4,2,3,3,4,3,3,4,4,3,4,3,4,2,4,3,3,3,4,1,1,4,3,2,18,4,3,1,3,3,5,2,3,2,2,100,1,1,1,5,4,24,3,3,4,3,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,2,5,4,3,3,1,1
"1539",226,5,3,4,4,3,3,4,3,3,2,2,3,3,3,2,3,3,4,3,3,4,3,3,4,3,3,3,3,3,1,1,4,5,3,17,3,3,3,3,2,2,3,2,3,3,4,2,11,3,1,2,40,3,3,3,4,4,4,4,3,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,2,4,4,3,0,0
"2300",486800,4,4,1,4,3,2,2,4,1,3,1,2,2,2,5,3,2,5,5,3,4,2,2,5,4,1,2,2,4,0,0,4,2,2,30,1,5,5,4,1,3,2,4,2,4,45,2,14,1,1,4,54,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1
"2469",4068,2,3,1,4,3,1,2,3,1,3,2,3,1,1,3,1,2,3,4,2,2,2,2,3,2,1,3,2,4,0,0,4,1,2,12,4,1,2,4,1,3,4,4,2,5,20,2,17,3,1,2,3,3,3,4,4,3,3,3,3,4,5,4,2,4,3,3,2,4,3,4,4,3,3,4,3,3,4,3,0,0
"1597",235913,4,2,3,3,4,3,3,5,3,3,4,1,5,5,5,5,5,4,4,4,4,4,2,5,4,2,4,4,4,2,1,5,8,2,22,2,5,4,4,2,1,2,5,2,5,65,2,19,1,2,1,14,3,3,4,4,4,4,5,4,4,4,3,4,4,4,5,5,5,4,5,5,5,4,5,3,4,4,4,1,1
"676",421812,5,2,4,4,5,5,5,3,3,5,2,2,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,4,5,1,1,4,4,4,36,3,5,3,4,3,4,4,5,5,4,159,1,17,1,5,4,39,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,1,1
"2006",471470,4,4,3,3,4,4,4,4,3,4,3,2,3,3,3,2,2,4,4,2,5,4,2,4,3,3,2,3,4,0,0,4,3,2,20,1,5,4,3,2,3,2,4,2,3,10,1,15,1,1,2,32,2,4,3,3,3,3,4,3,3,4,3,3,3,3,4,3,3,4,3,5,3,3,3,3,3,3,3,0,1
"1669",9129,5,2,4,4,4,4,4,2,4,3,2,2,4,4,4,2,2,4,4,2,4,3,3,4,3,3,2,2,2,0,0,4,4,2,20,1,5,5,3,2,3,5,5,5,5,20,2,17,3,1,1,28,3,4,4,3,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,0,0
"2735",483802,4,4,1,2,2,4,3,4,1,4,3,4,2,1,2,1,1,4,4,3,4,3,3,4,4,2,2,2,4,0,0,4,2,1,20,2,2,5,3,1,2,3,4,2,4,7,1,11,1,1,2,1,2,4,3,4,3,2,2,4,4,4,4,2,3,2,3,2,4,2,2,3,4,4,4,2,2,4,3,0,0
"1972",221427,4,2,4,5,4,4,4,5,5,3,4,4,4,4,5,5,5,5,5,4,4,5,5,5,4,2,3,2,5,0,0,4,2,2,24,4,4,4,5,3,5,4,4,5,4,45,1,19,1,1,4,24,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,5,4,5,5,2,4,4,4,1,1
"1349",472920,5,3,1,4,1,3,4,4,2,4,5,4,1,2,1,2,3,3,4,1,3,3,2,3,4,3,2,2,4,2,1,4,2,3,18,1,3,1,5,3,5,1,3,1,3,30,1,19,1,5,4,5,2,5,4,3,4,3,5,5,4,5,5,3,3,3,5,3,3,5,5,5,4,3,4,5,4,5,3,1,1
"2297",473625,2,3,1,3,2,1,1,4,1,3,5,4,1,2,2,1,2,1,3,1,4,1,2,4,1,1,1,1,4,1,1,4,2,2,24,3,3,3,3,2,3,2,3,2,3,30,1,15,1,5,4,43,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,0,1
"659",9273,3,4,4,3,5,4,3,4,3,4,5,3,4,5,3,2,4,4,4,3,4,5,3,4,5,4,4,4,4,1,1,4,4,5,14,2,4,3,4,3,5,5,4,5,3,15,1,14,1,1,1,6,3,4,4,4,3,4,4,5,4,4,5,4,4,3,3,4,4,3,4,3,4,3,5,3,3,4,3,1,0
"1260",470987,4,3,2,3,3,5,5,3,3,3,5,3,3,3,5,4,3,5,5,4,5,5,5,5,5,3,5,5,5,1,1,4,5,3,22,5,3,3,3,3,5,3,4,2,3,60,1,17,1,1,1,1,5,5,4,5,4,4,5,4,4,5,4,4,3,4,4,4,3,3,5,3,3,4,5,3,4,4,4,1,1
"2169",480192,4,3,1,2,3,4,4,2,3,2,5,3,2,4,3,3,2,4,5,4,5,4,5,5,5,2,4,3,4,1,1,4,2,2,18,4,2,2,4,3,5,3,3,2,3,25,1,11,5,2,2,1,4,3,3,4,3,2,4,4,5,3,4,3,2,2,2,1,4,4,5,4,5,5,5,5,3,5,4,1,1
"1766",422119,4,3,3,3,3,4,3,4,2,4,4,3,3,3,4,2,2,4,4,3,4,3,4,4,4,3,3,3,4,0,0,4,2,2,20,2,5,5,3,2,3,4,4,4,3,20,2,1,1,2,1,42,4,4,3,3,3,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,4,4,3,3,4,4,0,1
"1278",1642,5,3,3,5,4,5,5,3,1,3,5,3,3,3,5,4,3,5,5,4,5,5,4,5,5,3,4,4,5,1,1,5,3,3,17,1,5,5,4,2,4,3,4,3,4,60,1,1,1,1,4,39,5,4,5,4,2,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,3,5,5,4,1,0
"188",472869,4,3,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,3,3,3,4,0,0,4,4,6,25,1,4,4,4,2,5,3,3,4,5,25,1,12,1,4,4,45,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,0,1
"1359",220458,5,3,4,5,3,5,3,5,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,2,3,3,4,1,1,5,3,3,20,3,3,1,2,3,5,3,5,2,2,30,1,13,1,2,3,3,4,4,5,4,4,4,3,3,4,4,4,4,4,3,4,3,4,4,4,3,4,3,3,4,3,4,3,1,1
"2075",8172,4,3,3,4,4,4,4,3,4,4,2,3,3,2,3,3,3,4,4,2,4,4,4,4,2,2,3,2,4,1,1,5,3,2,18,1,4,4,3,2,2,4,3,4,3,60,2,19,1,1,3,5,4,4,3,4,4,3,4,4,4,2,4,3,2,3,4,3,4,4,4,4,4,4,4,3,2,4,2,0,0
"1529",485885,5,2,5,3,2,4,4,5,4,3,4,3,3,3,4,4,3,4,4,3,5,4,4,4,4,4,3,4,4,2,1,4,3,3,30,3,4,4,4,3,5,3,3,3,4,30,1,15,6,2,3,4,3,3,3,3,4,4,4,4,3,4,3,4,3,4,4,4,3,3,4,4,4,3,4,4,3,4,4,0,0
"2431",1547,4,3,4,4,4,5,5,5,3,3,5,3,3,3,4,4,4,5,5,4,4,4,4,4,5,3,4,4,4,2,1,4,7,2,40,1,5,5,3,3,5,4,4,4,4,24,2,16,5,2,2,28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,1,0
"82",23297,5,3,5,4,5,4,5,3,5,4,1,1,5,5,5,5,4,5,4,4,4,5,5,4,5,5,5,3,2,10,1,5,6,6,18,2,5,4,4,2,2,3,5,4,4,46,1,14,6,1,1,54,4,3,3,4,4,4,4,4,4,4,3,4,3,5,5,4,4,4,5,4,4,4,4,4,4,4,4,0,1
"2091",470668,4,3,3,4,3,4,3,4,2,3,4,3,3,3,3,2,3,3,4,3,3,3,4,4,3,2,2,2,3,2,1,4,1,2,14,3,5,3,3,2,5,1,1,1,1,15,1,12,1,1,4,24,4,4,3,4,4,3,4,5,5,4,5,3,3,3,5,3,3,4,5,4,5,3,5,3,4,5,5,1,1
"534",475944,4,4,3,3,2,3,3,4,3,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,4,1,2,3,3,1,1,4,4,5,43,3,4,5,2,3,5,1,4,1,2,30,1,17,1,5,4,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,2,3,4,3,2,4,3,4,3,3,3,3,0,1
"318",1398,3,4,4,3,3,3,3,4,4,3,4,3,4,4,3,3,4,4,4,4,4,3,3,3,3,4,4,4,3,1,1,4,10,6,20,3,4,3,3,2,4,4,3,3,3,20,2,19,1,1,1,5,3,3,3,3,3,3,3,4,3,4,4,3,3,3,4,4,4,3,4,3,4,3,3,4,3,4,4,0,0
